name,canonSMILES,mass1,mass2,mass3,time,mass-,mass+,best_well,best_purity,overlaps,conflicts
Product1,OCc1coc(-c2cnc3ccccc3c2)n1,226.07,0.0,0,0.7107,225.17,227.26,D6,70.51,No peak overlap detected.,No potential conflicts found.
Reactant1,Brc1cnc2ccccc2c1,206.97,208.97,0,1.0428,-,208.11,C10,61.89,No peak overlap detected.,No potential conflicts found.
Dibenzylaniline,c1ccc(CN(Cc2ccccc2)c2ccccc2)cc1,273.15,0.0,0,1.4873,-,274.27,D10,23.31,No peak overlap detected.,No potential conflicts found.
phenol bp,Oc1cnc2ccccc2c1,145.05,0.0,0,0.4794,144.01,146.13,A5,25.42,No peak overlap detected.,No potential conflicts found.
Impurity0,[*],0.0,0.0,0,0.3688,"[np.float64(476.65), np.float64(503.65), np.float64(533.6), np.float64(534.45), np.float64(649.84)]","[np.float64(292.24), np.float64(293.18), np.float64(231.28), np.float64(243.19), np.float64(244.21)]",,,,
Impurity1,[*],0.0,0.0,0,0.4144,"[np.float64(217.41), np.float64(233.07), np.float64(283.0), np.float64(292.87), np.float64(301.28)]","[np.float64(175.25), np.float64(214.33), np.float64(175.22), np.float64(197.27), np.float64(214.25)]",,,,
Impurity2,[*],0.0,0.0,0,0.5186,"[np.float64(148.11), np.float64(155.23), np.float64(164.9), np.float64(198.17), np.float64(213.25)]","[np.float64(114.09), np.float64(121.13), np.float64(195.16), np.float64(196.28), np.float64(212.2)]",,,,
Impurity3,[*],0.0,0.0,0,0.5789,"[np.float64(212.1), np.float64(214.08), np.float64(215.12), np.float64(228.54), np.float64(257.09)]","[np.float64(334.23), np.float64(174.23), np.float64(232.32), np.float64(306.26), np.float64(231.27)]",,,,
Impurity4,[*],0.0,0.0,0,0.7102,"[np.float64(221.16), np.float64(551.73), np.float64(341.21), np.float64(350.78), np.float64(404.08)]","[np.float64(289.19), np.float64(227.24), np.float64(228.24), np.float64(228.27), np.float64(228.26)]",,,,
Impurity5,[*],0.0,0.0,0,0.789,"[np.float64(212.19), np.float64(213.28), np.float64(219.42), np.float64(664.45), np.float64(774.62)]","[np.float64(130.13), np.float64(225.2), np.float64(225.19), np.float64(214.28), np.float64(216.21)]",,,,
Impurity6,[*],0.0,0.0,0,0.8265,"[np.float64(156.18), np.float64(159.04), np.float64(173.04), np.float64(178.88), np.float64(205.51)]","[np.float64(228.25), np.float64(228.26), np.float64(228.24), np.float64(228.24), np.float64(228.23)]",,,,
Impurity7,[*],0.0,0.0,0,0.9595,"[np.float64(678.38), np.float64(691.05), np.float64(734.32), np.float64(764.56), np.float64(768.97)]","[np.float64(355.33), np.float64(453.3), np.float64(470.2), np.float64(279.2), np.float64(470.34)]",,,,
Impurity8,[*],0.0,0.0,0,1.0154,"[np.float64(352.26), np.float64(354.58), np.float64(384.54), np.float64(393.26), np.float64(158.14)]","[np.float64(354.3), np.float64(247.17), np.float64(350.41), np.float64(351.37), np.float64(354.32)]",,,,
Impurity9,[*],0.0,0.0,0,1.0583,"[np.float64(309.05), np.float64(310.55), np.float64(311.45), np.float64(312.2), np.float64(314.06)]","[np.float64(257.23), np.float64(303.25), np.float64(349.38), np.float64(350.38), np.float64(351.37)]",,,,
Impurity10,[*],0.0,0.0,0,1.1231,"[np.float64(220.2), np.float64(241.28), np.float64(255.44), np.float64(258.15), np.float64(265.16)]","[np.float64(274.22), np.float64(311.28), np.float64(347.3), np.float64(348.34), np.float64(514.43)]",,,,
Impurity11,[*],0.0,0.0,0,1.1508,"[np.float64(916.68), np.float64(534.85), np.float64(535.8), np.float64(576.97), np.float64(579.33)]","[np.float64(382.38), np.float64(280.18), np.float64(353.33), np.float64(283.22), np.float64(312.29)]",,,,
Impurity12,[*],0.0,0.0,0,1.2838,"[np.float64(194.96), np.float64(205.28), np.float64(213.15), np.float64(218.52), np.float64(219.18)]","[np.float64(268.38), np.float64(274.21), np.float64(284.27), np.float64(285.2), np.float64(288.72)]",,,,
Impurity13,[*],0.0,0.0,0,1.4086,"[np.float64(213.15), np.float64(220.23), np.float64(206.11), np.float64(211.15), np.float64(212.21)]","[np.float64(438.36), np.float64(439.37), np.float64(440.37), np.float64(495.35), np.float64(438.39)]",,,,
Impurity14,[*],0.0,0.0,0,1.6357,"[np.float64(205.84), np.float64(207.69), np.float64(233.15), np.float64(134.79), np.float64(210.5)]","[np.float64(483.43), np.float64(484.43), np.float64(503.43), np.float64(628.58), np.float64(502.45)]",,,,
